case,cores,singlecore_cycles,baseline_cycles,makespan_cycles,speedup,reduction_percent,added_copy_bytes,spill_bytes,peak_l1_bytes,peak_ub_bytes,evaluations,bound_pruned,invalid_candidates,cold_search_wall_seconds,selected
case_020,5,532746,107650,107650,4.948871342313051,0.0,0,0,0,32768,24,22,0,45.179040899998654,cold
case_021,2,6567937,3194570,3194570,2.0559690349561914,0.0,3174400,1638400,524288,0,23,7,0,28.05641210000249,cold
case_021,3,6567937,2144024,2131778,3.0809666860245297,0.5711689794517225,8171520,3362816,524288,0,24,27,0,41.99352100000033,cold
case_021,4,6567937,1550324,1550324,4.236493145948847,0.0,4608000,0,425984,0,24,14,0,30.456255100001727,cold
case_021,5,6567937,1250168,1248538,5.260502283470747,0.13038247659514562,12322816,2754560,524288,0,24,53,0,45.86408200000005,cold
case_022,2,56780,28333,28228,2.011477965140995,0.37059259520700244,90956,0,33536,82972,24,24,0,6.5986690999998245,cold
case_022,3,56780,19128,18907,3.0031205373671126,1.1553743203680469,32288,0,22528,62472,24,64,0,7.58147309999913,cold
case_022,4,56780,14654,14654,3.874709976798144,0.0,13824,0,22528,60424,20,38,0,5.084375999998883,cold
case_022,5,56780,11828,11685,4.859221223791185,1.2089956036523504,20748,0,22528,62472,24,83,0,7.879062799998792,cold
case_023,2,122614,61227,52858,2.319686707783117,13.668806245610595,1126626,231424,88576,130700,24,6,0,6.235651599999983,cold
case_023,3,122614,41662,37245,3.292092898375621,10.60198742259133,1184368,43008,62976,129934,24,8,0,7.936359499999526,cold
case_023,4,122614,31519,30309,4.045465043386453,3.8389542815444653,424384,0,90112,75904,24,19,0,5.37344270000176,cold
case_023,5,122614,25191,25191,4.867373268230717,0.0,280992,0,90112,28806,24,16,0,4.082950700001675,cold
case_024,2,2555343,2555343,1336312,1.9122353163033783,47.70518087004367,2824,0,196608,65546,20,6,0,48.80336940000052,cold
case_024,3,2555343,2555343,953369,2.680329442220169,62.691153398976184,4032,0,131072,65542,24,6,0,53.316002900002786,cold
case_024,4,2555343,2555343,743623,3.43634207118392,70.8992882755857,4836,0,98304,65540,24,6,0,53.352763400002004,cold
case_024,5,2555343,2555343,743623,3.43634207118392,70.8992882755857,4836,0,98304,65540,24,7,0,57.34145300000091,cold
case_025,2,4863026,2431840,2431840,1.9997310678334101,0.0,27648,0,35328,6144,13,9,0,184.78286490000028,cold
case_025,3,4863026,1622164,1622164,2.9978633479722148,0.0,55296,0,35328,6144,14,15,0,181.01961479999954,cold
case_025,4,4863026,1217444,1217444,3.9944555971362954,0.0,82944,0,35328,6144,16,19,0,185.7644220000002,cold
case_025,5,4863026,975282,975282,4.986276789687495,0.0,110592,0,35328,6144,17,21,0,183.98269399999845,cold
case_026,2,99203,58112,55134,1.7993071425980338,5.124587004405287,878424,139264,143104,126982,24,6,0,2.9666050000014366,cold
case_026,3,99203,41655,40588,2.444146053020597,2.5615172248229503,417200,0,163840,57344,24,23,0,2.9444150000017544,cold
case_026,4,99203,42226,40588,2.444146053020597,3.879126604461706,423344,0,163840,57344,24,18,0,3.073984200000268,cold
case_026,5,99203,44114,40041,2.477535526085762,9.232896586117786,1408692,0,73728,90112,24,12,0,4.669191100001626,cold
case_027,2,2363952,1120962,1120962,2.10886006840553,0.0,1744896,638976,524288,0,24,11,0,10.163239400000748,cold
case_027,3,2363952,837049,778086,3.0381628765971884,7.044151537126261,7825408,737280,524288,0,24,33,0,15.739358400001947,cold
case_027,4,2363952,559196,559196,4.227412213249022,0.0,3317760,0,245760,0,24,16,0,10.23065719999795,cold
case_027,5,2363952,558753,474308,4.984001956534573,15.113117960887907,9207808,0,249856,0,24,57,0,17.260145300002478,cold
case_028,2,43836040,23638628,20501260,2.1382119928238557,13.27220852242355,51050112,48832512,524184,0,11,6,0,190.85268329999963,cold
case_028,3,43836040,16770711,13535588,3.2385767060876853,19.290315121404213,36681984,32360448,523776,0,14,7,0,182.51101780000317,cold
case_028,4,43836040,13608312,10162841,4.313364737281632,25.318871289841095,35861376,18726912,523776,0,13,7,0,187.62208459999965,cold
case_028,5,43836040,11491035,8134463,5.388928562340255,29.21035398464977,33177600,14008320,523776,0,12,13,0,183.48650149999958,cold
case_029,2,37555,19740,19009,1.9756431164185386,3.7031408308004057,114800,0,0,96278,24,29,0,5.405333099999552,cold
case_029,3,37555,12743,12743,2.9471082162756024,0.0,0,0,0,14340,8,41,0,1.683607299997675,cold
case_029,4,37555,11028,11028,3.405422560754443,0.0,0,0,0,14340,24,19,0,3.2754198999973596,cold
case_029,5,37555,9383,9383,4.002451241607162,0.0,0,0,0,14340,24,22,0,3.470550499998353,cold
case_030,2,2808034,1401423,1397339,2.0095581673452183,0.29141808005149056,6982668,5031936,524288,132,24,13,0,107.84060640000098,cold
case_030,3,2808034,933969,931978,3.012983139086974,0.21317624032489302,6956464,3054592,524288,202,24,28,0,138.16717860000063,cold
case_030,4,2808034,699591,697988,4.023040510725113,0.22913387965253987,8628232,3373056,524288,132,24,33,0,110.53221649999978,cold
case_030,5,2808034,561192,560330,5.011393286099263,0.15360161941011277,7835504,1629184,524288,244,24,55,0,135.99806639999952,cold
case_031,2,1414369,735345,712326,1.9855641939224455,3.1303673785774024,5850082,3548064,524288,118050,24,18,0,78.71007230000032,cold
